Desa/Kelurahan,Kode Wilayah,Kecamatan,Jumlah Penduduk,Belum/Tidak Bekerja,Mengurus Rumah Tangga,Pelajar/Mahasiswa,Pegawai Negeri Sipil,Petani/ Pekebun,Karyawan Swasta,Buruh Harian Lepas,Buruh Tani/Perkebunan,Pedagang,Wiraswasta
Kayen,3309192004,Juwangi,4224,1337,959,206,12,356,379,257,362,5,265
Jerukan,3309192005,Juwangi,3104,974,667,199,8,156,202,380,215,10,176
Pilangrejo,3309192007,Juwangi,4425,1312,1093,409,16,83,427,278,237,17,306
Cerme,3309192008,Juwangi,1532,319,286,183,9,52,69,239,168,12,130
Juwangi,3309192009,Juwangi,5801,1604,1107,624,57,212,508,318,126,68,806
Ngleses,3309192010,Juwangi,4821,1476,657,358,14,403,675,103,766,20,247
Seboto,3309202001,Gladagsari,5023,742,452,958,11,1452,815,144,99,23,160
Kaligentong,3309202002,Gladagsari,6332,1077,822,1260,73,491,1144,493,105,74,457
Gladagsari,3309202003,Gladagsari,3888,572,463,832,45,289,676,250,65,68,370
Kembang,3309202004,Gladagsari,6219,1092,582,1151,28,1516,1118,136,100,36,348
Ngagrong,3309202005,Gladagsari,3898,523,160,701,8,1823,388,39,31,15,123
Candisari,3309202006,Gladagsari,2530,431,123,447,9,926,357,28,37,6,118
Ngargoloko,3309202007,Gladagsari,1718,248,75,276,2,797,264,15,5,0,17
Sampetan,3309202008,Gladagsari,6625,1068,632,1322,15,1658,1048,288,112,32,259
Ngadirojo,3309202009,Gladagsari,5162,839,502,990,20,936,1153,260,139,26,163
Jlarem,3309202010,Gladagsari,3098,486,169,544,17,830,617,49,246,8,82
Lampar,3309212001,Tamansari,3517,677,249,511,11,1044,355,73,130,7,373
Dragan,3309212002,Tamansari,2326,418,415,392,9,426,228,19,45,6,305
Karanganyar,3309212003,Tamansari,3380,639,365,524,15,958,339,53,41,10,343
Jemowo,3309212004,Tamansari,5651,987,377,896,26,1863,695,61,153,15,433
Sumur,3309212005,Tamansari,2272,313,77,352,11,861,289,18,35,8,215
Sangup,3309212006,Tamansari,2695,527,116,341,3,1407,157,21,25,4,64
Mriyan,3309212007,Tamansari,2329,476,386,309,0,652,228,24,149,10,66
Lanjaran,3309212008,Tamansari,1959,315,45,283,2,819,262,7,2,2,168
Karang Kendal,3309212009,Tamansari,2688,522,106,423,21,728,603,16,90,6,113
Keposong,3309212010,Tamansari,4022,643,309,712,12,981,429,69,190,45,471
Ngablak,3309222001,Wonosamodro,2640,575,161,362,8,580,421,78,125,8,278
Kedungpilang,3309222002,Wonosamodro,2332,485,187,421,3,501,353,27,92,3,210
Kalinanas,3309222003,Wonosamodro,2734,498,119,380,10,1010,396,87,65,1,134
Gilirejo,3309222004,Wonosamodro,2066,400,128,305,6,639,335,45,82,0,94
Jatilawang,3309222005,Wonosamodro,3131,646,305,381,1,971,346,94,99,1,246
Garangan,3309222006,Wonosamodro,3655,771,241,509,18,943,448,32,64,5,576
Bercak,3309222007,Wonosamodro,1909,391,125,244,1,544,198,16,43,3,313
Bengle,3309222008,Wonosamodro,4756,922,406,687,4,1468,674,119,111,0,329
Gunungsari,3309222009,Wonosamodro,3440,645,200,476,6,1367,366,97,23,3,211
Repaking,3309222010,Wonosamodro,5849,1114,558,863,21,1520,1064,151,138,15,261
