Desa/Kelurahan,Kode Wilayah,Kecamatan,Jumlah Penduduk,Belum/Tidak Bekerja,Mengurus Rumah Tangga,Pelajar/Mahasiswa,Pegawai Negeri Sipil,Petani/ Pekebun,Karyawan Swasta,Buruh Harian Lepas,Buruh Tani/Perkebunan,Pedagang,Wiraswasta,cluster,Cluster,Principal Component 1,Principal Component 2,Cluster
Demangan,3309102009,Sambi,3123,569,282,622,21,328,577,84,150,73,245,1,0,-0.04574709387448039,-0.13517720455161908,0
Kepoh,3309102010,Sambi,2679,530,342,481,12,86,577,386,55,29,75,1,0,-0.049339124049101235,-0.20537112867346496,0
Jagoan,3309102011,Sambi,4134,725,203,760,26,352,1155,325,406,20,60,1,0,0.0014697802581713493,-0.09642226784988467,0
Babadan,3309102012,Sambi,3160,581,390,599,60,269,621,199,89,44,153,1,0,-0.03347259044149742,-0.12094647070491443,0
Ngaglik,3309102013,Sambi,2072,424,201,346,10,332,482,31,112,21,33,1,0,-0.1280779968035548,-0.29165517515281536,0
Trosobo,3309102014,Sambi,2485,462,149,461,32,326,578,181,118,10,73,1,0,-0.10609659304512453,-0.2450684308976142,0
Cermo,3309102015,Sambi,2340,458,268,401,17,225,418,158,258,12,53,1,0,-0.10023746405317802,-0.31339735897601095,0
Nglembu,3309102016,Sambi,2180,361,220,427,71,253,448,38,83,11,133,1,0,-0.11301431558846997,-0.2724407147777935,0
Ngargorejo,3309112001,Ngemplak,3794,735,342,669,26,44,849,314,160,237,211,1,0,0.08387812756054824,0.015653978523061107,0
Sobokerto,3309112002,Ngemplak,7583,1725,773,1330,50,125,1116,895,153,106,1038,2,2,1.1973084495880812,0.1892761617624274,2
Ngesrep,3309112003,Ngemplak,7041,1273,1018,1466,131,37,1252,530,34,119,590,2,2,1.1811822111102959,0.15430220257312838,2
Gagaksipat,3309112004,Ngemplak,10181,2065,1260,1902,165,20,2492,731,25,233,644,2,2,1.4465041899092663,0.6818363606818882,2
Donohudan,3309112005,Ngemplak,7982,1602,543,1609,136,37,1759,488,24,95,1332,2,2,1.229455877810188,0.3124004361707648,2
Sawahan,3309112006,Ngemplak,11904,2545,1554,2444,161,38,2427,1031,31,121,927,2,2,1.5401365473756903,0.8878064464254567,2
Pandeyan,3309112007,Ngemplak,8751,1750,734,1679,121,40,2499,761,13,172,436,2,2,1.309057040831923,0.4429085274389572,2
